rnd_tag0.csv,1
rnd_tag1.csv,16
rnd_tag10.csv,256
rnd_tag11.csv,256
rnd_tag12.csv,256
rnd_tag13.csv,228
rnd_tag14.csv,100
rnd_tag15.csv,16
rnd_tag16.csv,1
rnd_tag2.csv,101
rnd_tag3.csv,227
rnd_tag4.csv,256
rnd_tag5.csv,256
rnd_tag6.csv,256
rnd_tag7.csv,256
rnd_tag8.csv,256
rnd_tag9.csv,256
tag_cetd0.csv,1
tag_cetd1.csv,12
tag_cetd10.csv,256
tag_cetd11.csv,256
tag_cetd12.csv,122
tag_cetd13.csv,153
tag_cetd14.csv,82
tag_cetd15.csv,15
tag_cetd16.csv,1
tag_cetd2.csv,77
tag_cetd3.csv,164
tag_cetd4.csv,228
tag_cetd5.csv,254
tag_cetd6.csv,256
tag_cetd7.csv,256
tag_cetd8.csv,256
tag_cetd9.csv,256
